,Month,RISK_BUCKET,CIBIL_BUCKET,RATE_OF_INTEREST,CAR_SELLING_PRICE,DISBURSABLE_LOAN_AMOUNT,USERID
83,2024-07,B,600-650,18.13,484633.3333333333,499800.0,3
84,2024-07,B,650-700,17.428941176470587,586748.1882352941,500650.18823529413,43
85,2024-07,B,700-750,16.573464651915813,549214.9373988127,495545.97301672964,878
86,2024-07,B,750 +,15.12818292091218,572163.8703254007,527328.109655507,1852
87,2024-07,B,<600,17.78,896000.0,800000.0,1
88,2024-07,B,"NTC (-1,0 & 1-299)",16.74732394366197,566429.6408450705,478091.7042253521,72
89,2024-07,C,600-650,18.098333333333333,539953.6666666666,493788.8333333333,4
90,2024-07,C,650-700,17.729300699300698,566712.7482517483,434056.2167832168,100
91,2024-07,C,700-750,17.47189268292683,545710.4817826935,461169.2669918699,1635
92,2024-07,C,750 +,16.6597726111395,541511.743484926,484224.4981144609,1882
93,2024-07,C,<600,17.22,1259000.0,1000000.0,1
94,2024-07,C,"NTC (-1,0 & 1-299)",17.837074303405572,535324.814241486,469864.66563467495,350
95,2024-07,D,600-650,18.937096774193545,531712.2258064516,449102.51612903224,18
96,2024-07,D,650-700,19.22768361581921,621890.1412429379,439972.5197740113,133
97,2024-07,D,700-750,18.55275439938791,537418.2735271615,404852.1013771997,1592
98,2024-07,D,750 +,17.579739336492892,546620.7353870458,433751.6579778831,689
99,2024-07,D,<600,19.25,935153.6666666666,497706.3333333333,2
100,2024-07,D,"NTC (-1,0 & 1-299)",18.693225308641978,527827.5972222222,411448.86574074073,390
101,2024-07,E,600-650,20.0,426600.0,383940.0,1
102,2024-07,E,650-700,20.03757575757576,557605.4242424242,349867.51515151514,28
103,2024-07,E,700-750,19.745368421052632,592577.0652173914,401259.1052631579,75
104,2024-07,E,750 +,16.89,830944.0,456585.0,1
105,2024-07,E,"NTC (-1,0 & 1-299)",19.805989304812837,571687.1069518717,466691.6256684492,103
